county,location,date,agency,type,da_ppm
Humboldt,Clam Beach,3/18/19,CA Dept of Fish & Wildlife,Meat,230
Humboldt,Clam Beach,3/18/19,CA Dept of Fish & Wildlife,Meat,220
Humboldt,Clam Beach,3/18/19,CA Dept of Fish & Wildlife,Meat,250
Humboldt,Clam Beach,4/21/19,CA Dept of Fish & Wildlife,Meat,230
Humboldt,Clam Beach,4/21/19,CA Dept of Fish & Wildlife,Meat,150
Humboldt,Clam Beach,4/21/19,CA Dept of Fish & Wildlife,Meat,49
Humboldt,Clam Beach,4/21/19,CA Dept of Fish & Wildlife,Meat,100
Humboldt,Clam Beach,4/21/19,CA Dept of Fish & Wildlife,Meat,450
Humboldt,Clam Beach,4/21/19,CA Dept of Fish & Wildlife,Meat,120
Humboldt,Clam Beach,4/21/19,CA Dept of Fish & Wildlife,Meat,35
Humboldt,Clam Beach,4/21/19,CA Dept of Fish & Wildlife,Meat,83
Humboldt,Clam Beach,4/21/19,CA Dept of Fish & Wildlife,Meat,220
Humboldt,Clam Beach,4/21/19,CA Dept of Fish & Wildlife,Meat,81
Humboldt,Clam Beach,4/21/19,CA Dept of Fish & Wildlife,Meat,200
Humboldt,Clam Beach,4/21/19,CA Dept of Fish & Wildlife,Meat,36
