"sampleid","county","location","long_dd","lat_dd","year","date","type_orig","comm_name","species","type","tissue","da_ppm","da_ppm_prefix"
"M14P00375","San Luis Obispo","Morro Bay, Lease M-614-01 P2-O",-120.8437,35.33749,2014,2014-04-07,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00377","San Luis Obispo","Morro Bay, Lease M-614-01 P1-O",-120.8489,35.34099,2014,2014-04-07,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00378","San Luis Obispo","Morro Bay, Lease M-614-02-O",-120.85022,35.3311,2014,2014-04-07,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00437","Marin","Tomales Bay, Lease #M430-04",-122.9396,38.2105,2014,2014-04-24,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00505","San Luis Obispo","Morro Bay, Lease M-614-01 P2-O",-120.8437,35.33749,2014,2014-05-12,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00531","San Luis Obispo","Morro Bay, Lease M-614-01 P1-O",-120.8489,35.34099,2014,2014-05-19,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00532","San Luis Obispo","Morro Bay, Lease M-614-02-O",-120.85022,35.3311,2014,2014-05-19,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00533","San Luis Obispo","Morro Bay, Lease M-614-01 P2-O",-120.8437,35.33749,2014,2014-05-19,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00569","San Luis Obispo","Morro Bay, Lease M-614-01 P1-O",-120.8489,35.34099,2014,2014-05-26,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00570","San Luis Obispo","Morro Bay, Lease M-614-02-O",-120.85022,35.3311,2014,2014-05-26,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00572","San Luis Obispo","Morro Bay, Lease M-614-01 P2-O",-120.8437,35.33749,2014,2014-05-27,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00630","San Luis Obispo","Morro Bay, Lease M-614-02-O",-120.85022,35.3311,2014,2014-06-16,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",4,NA
"M14P00631","San Luis Obispo","Morro Bay, Lease M-614-01 P1-O",-120.8489,35.34099,2014,2014-06-16,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",4.9,NA
"M14P00647","San Luis Obispo","Morro Bay, Lease M-614-01 P2-O",-120.8437,35.33749,2014,2014-06-17,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00650","San Luis Obispo","Morro Bay, Lease M-614-01 P1-O",-120.8489,35.34099,2014,2014-06-18,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",4,NA
"M14P00651","San Luis Obispo","Morro Bay, Lease M-614-02-O",-120.85022,35.3311,2014,2014-06-18,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00657","San Luis Obispo","Morro Bay, Lease M-614-01 P2-O",-120.8437,35.33749,2014,2014-06-18,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00666","San Luis Obispo","Morro Bay, Lease M-614-02-O",-120.85022,35.3311,2014,2014-06-23,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00667","San Luis Obispo","Morro Bay, Lease M-614-01 P1-O",-120.8489,35.34099,2014,2014-06-23,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00669","San Luis Obispo","Morro Bay, Lease M-614-01 P2-O",-120.8437,35.33749,2014,2014-06-23,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00683","San Luis Obispo","Morro Bay, Lease M-614-01 P2-O",-120.8437,35.33749,2014,2014-06-25,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00684","San Luis Obispo","Morro Bay, Lease M-614-02-O",-120.85022,35.3311,2014,2014-06-25,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00685","San Luis Obispo","Morro Bay, Lease M-614-01 P1-O",-120.8489,35.34099,2014,2014-06-25,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00695","San Luis Obispo","Morro Bay, Lease M-614-01 P2-O",-120.8437,35.33749,2014,2014-06-30,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00697","San Luis Obispo","Morro Bay, Lease M-614-01 P1-O",-120.8489,35.34099,2014,2014-06-30,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00698","San Luis Obispo","Morro Bay, Lease M-614-02-O",-120.85022,35.3311,2014,2014-06-30,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00718","San Luis Obispo","Morro Bay, Lease M-614-02-O",-120.85022,35.3311,2014,2014-07-07,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00720","San Luis Obispo","Morro Bay, Lease M-614-01 P1-O",-120.8489,35.34099,2014,2014-07-07,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00721","San Luis Obispo","Morro Bay, Lease M-614-01 P2-O",-120.8437,35.33749,2014,2014-07-07,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00794","San Luis Obispo","Morro Bay, Lease M-614-02-O",-120.85022,35.3311,2014,2014-07-21,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00796","San Luis Obispo","Morro Bay, Lease M-614-01 P1-O",-120.8489,35.34099,2014,2014-07-21,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00797","San Luis Obispo","Morro Bay, Lease M-614-01 P2-O",-120.8437,35.33749,2014,2014-07-21,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00798","Santa Barbara","Santa Barbara Ch., M-653-02-O",-119.779,34.398,2014,2014-07-21,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00820","San Luis Obispo","Morro Bay, Lease M-614-01 P2-O",-120.8437,35.33749,2014,2014-07-28,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00822","Santa Barbara","Santa Barbara Ch., M-653-02-O",-119.779,34.398,2014,2014-07-28,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00824","San Luis Obispo","Morro Bay, Lease M-614-02-O",-120.85022,35.3311,2014,2014-07-28,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00825","San Luis Obispo","Morro Bay, Lease M-614-01 P1-O",-120.8489,35.34099,2014,2014-07-28,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00849","San Luis Obispo","Morro Bay, Lease M-614-01 P2-O",-120.8437,35.33749,2014,2014-08-04,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00850","San Luis Obispo","Morro Bay, Lease M-614-02-O",-120.85022,35.3311,2014,2014-08-04,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00852","San Luis Obispo","Morro Bay, Lease M-614-01 P1-O",-120.8489,35.34099,2014,2014-08-04,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00854","Santa Barbara","Santa Barbara Ch., M-653-02-O",-119.779,34.398,2014,2014-08-04,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00876","San Luis Obispo","Morro Bay, Lease M-614-01 P1-O",-120.8489,35.34099,2014,2014-08-11,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00877","San Luis Obispo","Morro Bay, Lease M-614-02-O",-120.85022,35.3311,2014,2014-08-11,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00879","Santa Barbara","Santa Barbara Ch., M-653-02-O",-119.779,34.398,2014,2014-08-11,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00882","San Luis Obispo","Morro Bay, Lease M-614-01 P2-O",-120.8437,35.33749,2014,2014-08-11,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00901","San Luis Obispo","Morro Bay, Lease M-614-01 P1-O",-120.8489,35.34099,2014,2014-08-18,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00902","San Luis Obispo","Morro Bay, Lease M-614-02-O",-120.85022,35.3311,2014,2014-08-18,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00904","San Luis Obispo","Morro Bay, Lease M-614-01 P2-O",-120.8437,35.33749,2014,2014-08-18,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00928","San Luis Obispo","Morro Bay, Lease M-614-02-O",-120.85022,35.3311,2014,2014-08-25,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00929","San Luis Obispo","Morro Bay, Lease M-614-01 P1-O",-120.8489,35.34099,2014,2014-08-25,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00931","San Luis Obispo","Morro Bay, Lease M-614-01 P2-O",-120.8437,35.33749,2014,2014-08-25,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00963","San Luis Obispo","Morro Bay, Lease M-614-02-O",-120.85022,35.3311,2014,2014-09-01,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00965","San Luis Obispo","Morro Bay, Lease M-614-01 P1-O",-120.8489,35.34099,2014,2014-09-01,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00950","Marin","Tomales Bay, Lease #M430-04",-122.9396,38.2105,2014,2014-09-02,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00962","San Luis Obispo","Morro Bay, Lease M-614-01 P2-O",-120.8437,35.33749,2014,2014-09-02,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00970","San Luis Obispo","Morro Bay, Lease M-614-01 P2-O",-120.8437,35.33749,2014,2014-09-08,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00972","San Luis Obispo","Morro Bay, Lease M-614-02-O",-120.85022,35.3311,2014,2014-09-08,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00973","San Luis Obispo","Morro Bay, Lease M-614-01 P1-O",-120.8489,35.34099,2014,2014-09-08,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00994","Marin","Tomales Bay, Lease #M430-04",-122.9396,38.2105,2014,2014-09-15,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00998","San Luis Obispo","Morro Bay, Lease M-614-01 P1-O",-120.8489,35.34099,2014,2014-09-15,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P00999","San Luis Obispo","Morro Bay, Lease M-614-02-O",-120.85022,35.3311,2014,2014-09-15,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P01001","San Luis Obispo","Morro Bay, Lease M-614-01 P2-O",-120.8437,35.33749,2014,2014-09-15,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P01016","San Luis Obispo","Morro Bay, Lease M-614-01 P1-O",-120.8489,35.34099,2014,2014-09-22,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P01017","San Luis Obispo","Morro Bay, Lease M-614-02-O",-120.85022,35.3311,2014,2014-09-22,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P01022","San Luis Obispo","Morro Bay, Lease M-614-01 P2-O",-120.8437,35.33749,2014,2014-09-22,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P01038","San Luis Obispo","Morro Bay, Lease M-614-01 P2-O",-120.8437,35.33749,2014,2014-09-29,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P01040","Santa Barbara","Santa Barbara Ch., M-653-02-O",-119.779,34.398,2014,2014-09-29,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P01042","San Luis Obispo","Morro Bay, Lease M-614-02-O",-120.85022,35.3311,2014,2014-09-29,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P01043","San Luis Obispo","Morro Bay, Lease M-614-01 P1-O",-120.8489,35.34099,2014,2014-09-29,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
"M14P01063","Santa Barbara","Santa Barbara Ch., M-653-02-O",-119.779,34.398,2014,2014-10-06,"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","cultured","whole",2.5,"<"
